% Point Number, Decimal Latitude, Decimal Longitude
1,79.0353,-42.9199
2,72.0189,-43.682
3,65.8917,-45.2584
4,63,-44.4089
53,63,-52.0812
54,63.0021,-52.3334
55,63.2521,-52.5623
56,63.4187,-52.7978
57,63.5854,-53.0029
58,63.7747,-53.2479
59,63.9002,-53.5812
60,64.0214,-53.8312
61,64.0521,-54.2479
62,64.1138,-54.5812
63,64.2472,-54.9146
64,64.3478,-55.1646
65,64.4597,-55.4979
66,64.5021,-55.8156
67,64.2521,-55.7995
68,63.9652,-55.7479
69,63.8104,-55.9979
70,63.8354,-56.3979
71,63.9105,-56.7479
72,63.9624,-57.0812
73,63.9996,-57.4979
74,64.0191,-57.8312
75,64.0777,-58.2479
76,63.8875,-58.4979
77,63.5854,-58.5874
78,63.2521,-58.6705
79,62.9413,-58.8312
80,62.7521,-59.0312
81,62.8354,-59.1408
82,63.1437,-59.2479
83,63.3193,-59.4979
84,63.3354,-59.7479
85,63.2062,-60.0812
86,62.9242,-60.2479
87,62.7267,-60.4146
88,62.4187,-60.5649
89,62.0021,-60.5276
90,61.6687,-60.4943
91,61.4016,-60.5812
92,61.1687,-60.7697
93,60.9187,-60.9583
94,60.6687,-61.1182
95,60.4187,-61.1191
96,60.1687,-60.9743
97,59.9973,-60.7479
98,60.4551,-64.5679
99,60.4575,-64.5725
100,60.4578,-64.5797
101,60.4567,-64.5832
102,60.4546,-64.5895
103,60.4573,-64.5891
104,60.6828,-64.6621
105,61.3235,-64.8789
106,61.4034,-64.8721
107,61.506,-64.9163
108,61.5813,-65.1753
109,61.6559,-65.4417
110,61.7545,-65.6744
111,61.8331,-65.8597
112,61.8831,-65.9777
113,61.9211,-66.0342
114,61.9413,-66.0998
115,62.1896,-66.6603
116,62.4917,-67.548
117,62.8246,-68.5714
118,63.7693,-70.1804
119,64.7445,-70.9261
120,66.6375,-70.4098
121,67.7848,-70.3525
122,69.1042,-72.016
123,70.1941,-74.7122
124,70.7678,-76.6626
125,71.5,-89
431,76.7825,-89
432,76.9351,-88.5401
433,76.9323,-88.2193
434,76.8864,-86.8879
435,76.9102,-85.3888
436,77.0054,-83.9849
437,77.1005,-83.1283
438,77.4337,-82.6286
439,78.0285,-81.9624
440,78.1475,-81.1296
441,78.3616,-79.4877
442,78.4092,-78.3694
443,78.14,-77.4276
444,78.0643,-76.9027
445,78.0697,-76.5456
446,78.0676,-75.6384
447,78.0601,-72.595
448,78.0788,-72.5166
449,78.1605,-71.7373
450,78.2335,-70.7876
451,78.4169,-67.2975
452,78.7024,-56.4947
453,79.0353,-42.9199
