% Point Number, Decimal Latitude, Decimal Longitude
1,72.019,-43.682
2,69,-44.335
3,69,-34
4,65,-21
5,65,-14
6,62,-7
7,59.947,-6.9979
8,59.927,-6.9146
9,59.919,-6.8856
10,59.897,-6.8313
11,59.876,-6.7479
12,59.857,-6.6646
13,59.859,-6.5813
14,59.835,-6.5376
15,59.81,-6.4979
16,59.824,-6.4146
17,59.835,-6.3363
18,59.858,-6.3313
19,59.858,-6.2479
20,59.841,-6.1646
21,59.835,-6.133
22,59.822,-6.0813
23,59.835,-6.0413
24,59.843,-5.9979
25,59.835,-5.9789
26,59.799,-5.9146
27,59.779,-5.8313
28,59.776,-5.7479
29,59.801,-5.6646
30,59.828,-5.5813
31,59.835,-5.558
32,59.86,-5.4979
33,59.892,-5.4146
34,59.919,-5.3535
35,59.928,-5.3313
36,59.96,-5.2479
37,59.983,-5.1646
38,60.002,-5.1074
39,60.013,-5.0813
40,60.047,-4.9979
41,60.076,-4.9146
42,60.085,-4.8781
43,60.102,-4.8313
44,60.142,-4.7479
45,60.169,-4.6854
46,60.178,-4.6646
47,60.21,-4.5813
48,60.243,-4.4979
49,60.252,-4.4712
50,60.274,-4.4146
51,60.319,-4.3313
52,60.335,-4.3013
53,60.369,-4.2479
54,60.405,-4.1646
55,60.419,-4.1321
56,60.435,-4.0813
57,60.464,-3.9979
58,60.495,-3.9146
59,60.502,-3.8889
60,60.516,-3.8313
61,60.535,-3.7479
62,60.563,-3.6646
63,60.585,-3.5969
64,60.591,-3.5813
65,60.615,-3.4979
66,60.657,-3.4146
67,60.669,-3.3729
68,60.684,-3.3313
69,60.731,-3.2479
70,60.752,-3.1744
71,60.754,-3.1646
72,60.801,-3.0813
73,60.829,-2.9979
74,60.835,-2.9813
75,60.863,-2.9146
76,60.892,-2.8313
77,60.916,-2.7479
78,60.919,-2.7405
79,60.946,-2.6646
80,60.967,-2.5813
81,60.988,-2.4979
82,61.002,-2.4394
83,61.01,-2.4146
84,61.041,-2.3313
85,61.073,-2.2479
86,61.085,-2.2074
87,61.1,-2.1646
88,61.169,-2.0857
89,61.172,-2.0813
90,61.173,-1.9979
91,61.202,-1.9146
92,61.251,-1.8313
93,61.252,-1.8291
94,61.286,-1.7479
95,61.335,-1.6728
96,61.341,-1.6646
97,61.397,-1.5813
98,61.419,-1.5517
99,61.459,-1.4979
100,61.502,-1.4202
101,61.506,-1.4146
102,61.569,-1.3313
103,61.585,-1.3066
104,61.645,-1.2479
105,61.669,-1.2231
106,61.72,-1.1646
107,61.752,-1.1247
108,61.772,-1.0813
109,61.799,-0.9979
110,61.835,-0.9168
111,61.837,-0.9146
112,61.889,-0.8313
113,61.919,-0.7786
114,61.934,-0.7479
115,61.965,-0.6646
116,61.987,-0.5813
117,62.001,-0.4979
118,62.002,-0.4771
119,62.007,-0.4146
120,62.022,-0.3313
121,62.031,-0.2479
122,62.04,-0.1646
123,62.047,-0.0813
124,62.056,0.0021
125,62.07,0.0854
126,62.08,0.1687
127,62.085,0.2104
128,62.092,0.2521
129,62.103,0.3354
130,62.113,0.4187
131,62.118,0.5021
132,62.122,0.5854
133,62.138,0.6687
134,62.155,0.7521
135,62.169,0.7997
136,62.185,0.8354
137,62.203,0.9187
138,62.213,1.0021
139,62.231,1.0854
140,62.247,1.1687
