% Point Number,Decimal Latitude,Decimal Longitude
1,59.9971,-60.0944
2,59.6891,-60.3711
3,59.6575,-60.3525
4,59.6317,-60.3307
5,59.5992,-60.2787
6,59.5801,-60.2349
7,59.5547,-60.2043
8,59.5059,-60.1557
9,59.4889,-60.1306
10,59.452,-60.0814
11,59.4108,-60.1183
12,59.3729,-60.1503
13,59.3614,-60.1594
14,59.3494,-60.1594
15,59.3336,-60.1486
16,59.2942,-60.106
17,59.2636,-60.0669
18,59.2468,-60.0365
19,59.2293,-60.0468
20,59.198,-60.0519
21,59.1556,-60.0429
22,59.1442,-60.0342
23,59.1345,-60.0289
24,59.1017,-59.998
25,59.0572,-59.953
26,59.0417,-59.9455
27,59.0271,-59.9373
28,58.9925,-59.937
29,58.9531,-59.9329
30,58.9393,-59.9255
31,58.919,-59.9225
32,58.854,-59.8821
33,58.837,-59.8955
34,58.81,-59.9335
35,58.7975,-59.9614
36,58.7626,-59.9782
37,58.7347,-59.9759
38,58.6982,-59.9536
39,58.6414,-59.8867
40,58.6324,-59.8805
41,58.6268,-59.8743
42,58.5405,-59.8329
43,58.5302,-59.8245
44,58.5233,-59.8191
45,58.5087,-59.8022
46,58.455,-59.738
47,58.4281,-59.7174
48,58.3955,-59.6981
49,58.3575,-59.6788
50,58.326,-59.66
51,58.3006,-59.6557
52,58.2441,-59.6319
53,58.224,-59.6265
54,58.2119,-59.6248
55,58.2,-59.6339
56,58.1594,-59.6602
57,58.1221,-59.718
58,58.1082,-59.698
59,58.0675,-59.6328
60,58.0202,-59.5894
61,57.9764,-59.5697
62,57.9613,-59.5606
63,57.9183,-59.5425
64,57.8841,-59.5079
65,57.8417,-59.4736
66,57.8165,-59.4505
67,57.7994,-59.4406
68,57.755,-59.3947
69,57.7307,-59.3613
70,57.7148,-59.3401
71,57.681,-59.3117
72,57.6538,-59.2884
73,57.6131,-59.2548
74,57.5763,-59.2162
75,57.5514,-59.207
76,57.5115,-59.1765
77,57.4838,-59.1557
78,57.4321,-59.0927
79,57.4213,-59.0724
80,57.41,-59.0572
81,57.3975,-59.0584
82,57.3814,-59.0661
83,57.3294,-59.0658
84,57.3085,-59.0564
85,57.2909,-59.0414
86,57.2716,-59.0086
87,57.2421,-58.948
88,57.2071,-58.9035
89,57.1632,-58.878
90,57.1429,-58.8589
91,57.1057,-58.8356
92,57.0889,-58.8045
93,57.0737,-58.7751
94,57.047,-58.7064
95,57.0044,-58.6279
96,56.996,-58.6153
97,56.9882,-58.6005
98,56.9399,-58.5283
99,56.9031,-58.4821
100,56.861,-58.4591
101,56.8198,-58.4069
102,56.8019,-58.3957
103,56.7914,-58.3829
104,56.7328,-58.3808
105,56.7007,-58.3586
106,56.6874,-58.3336
107,56.6717,-58.3085
108,56.634,-58.2452
109,56.5996,-58.2221
110,56.56,-58.1729
111,56.5156,-58.0996
112,56.5091,-58.0829
113,56.4986,-58.0603
114,56.4723,-57.9818
115,56.4618,-57.9428
116,56.4565,-57.8861
117,56.4541,-57.8663
118,56.4491,-57.8066
119,56.4379,-57.7493
120,56.3976,-57.6654
121,56.3906,-57.6567
122,56.3797,-57.6423
123,56.3253,-57.5784
124,56.2967,-57.5391
125,56.2636,-57.4976
126,56.2223,-57.4687
127,56.1958,-57.4441
128,56.1801,-57.434
129,56.1208,-57.3846
