% Point Number, Decimal Latitude, Decimal Longitude
   1, 57.0140, 33.6136
   2, 52.2495, 29.0600
   3, 50.0992, 17.9711
   4, 50.1350,  9.2906
   5, 52.6572, 10.2186
   6, 53.7993, 10.3542
   7, 54.3228,  9.4262
   8, 54.9415,  9.1169
   9, 55.4412,  9.0455
  10, 55.6797,  9.3294
  11, 56.9499, 10.0482
  12, 57.5313, 10.3061
  13, 57.6918, 10.4921
  14, 57.7221, 10.5600
  15, 57.7920, 10.7273
  16, 57.9634, 11.5802
  17, 59.1659, 13.9027
  18, 61.3788, 12.7606
  19, 63.2531, 15.1293
  20, 65.6921, 17.6872
  21, 67.1094, 20.4672
  22, 67.4704, 21.1755
  23, 67.9342, 26.2351
  24, 65.5309, 30.1984
  25, 61.3146, 33.1498
  26, 57.0140, 33.6136
