BBAY, Baffin Bay
NEAS, Northeast American Shelf
SPNA, Subpolar North Atlantic
BICC, Biscay, Iberia & Canary Basin
NSBS, Nordic & Barents Sea
NWES, Northwest European Shelf
BALT, Baltic Sea
ATMO, Atmosphere
