% Point Number, Decimal Latitude, Decimal Longitude
   1, 42.2564, -65.0144
   2, 42.2496, -65.0420
   3, 42.2487, -65.0622
   4, 42.2414, -65.1450
   5, 42.2408, -65.1563
   6, 42.2380, -65.1628
   7, 42.2320, -65.1650
   8, 42.1879, -65.2005
   9, 42.1636, -65.2461
  10, 42.1611, -65.2754
  11, 42.1541, -65.3383
  12, 42.1522, -65.3594
  13, 42.1471, -65.3707
  14, 42.1364, -65.3741
  15, 42.0921, -65.3923
  16, 42.0874, -65.3932
  17, 42.0832, -65.4001
  18, 42.0516, -65.4407
  19, 42.0506, -65.4522
  20, 42.0409, -65.4726
  21, 42.0118, -65.4992
  22, 42.0082, -65.5024
  23, 41.9789, -65.5320
  24, 41.9603, -65.5437
  25, 41.9454, -65.5550
  26, 41.9148, -65.5889
  27, 41.8973, -65.6201
  28, 41.8717, -65.6378
  29, 41.8498, -65.6393
  30, 41.8033, -65.6437
  31, 41.8014, -65.6437
  32, 41.7543, -65.6548
  33, 41.7418, -65.6665
  34, 41.7361, -65.6799
  35, 41.6983, -65.7148
  36, 41.6589, -65.7314
  37, 41.6397, -65.7393
  38, 41.6282, -65.7587
  39, 41.6061, -65.8033
  40, 41.5649, -65.8516
  41, 41.5637, -65.8530
  42, 41.5636, -65.8533
  43, 41.5634, -65.8533
  44, 41.5597, -65.8561
  45, 41.5133, -65.8908
  46, 41.4679, -65.9278
  47, 41.4623, -65.9273
  48, 41.4442, -65.9278
  49, 41.3901, -65.9304
  50, 41.3725, -65.9324
  51, 41.3436, -65.9740
  52, 41.3328, -66.0055
  53, 41.3190, -66.0521
  54, 41.3036, -66.0797
  55, 41.2910, -66.1078
  56, 41.2861, -66.1170
  57, 41.2771, -66.1202
  58, 41.2344, -66.1526
  59, 41.2005, -66.1929
  60, 41.1929, -66.2040
  61, 41.1817, -66.2062
  62, 41.1441, -66.2440
  63, 41.1195, -66.2814
  64, 41.1101, -66.3072
  65, 41.0863, -66.3224
  66, 41.0613, -66.3472
  67, 41.0508, -66.3741
  68, 41.0265, -66.4091
  69, 40.9909, -66.4182
  70, 40.9639, -66.4275
  71, 40.9494, -66.4554
  72, 40.9368, -66.5016
  73, 40.9132, -66.5378
  74, 40.9040, -66.5563
  75, 40.9013, -66.5625
  76, 40.8955, -66.5646
  77, 40.8561, -66.6080
  78, 40.8384, -66.6501
  79, 40.8293, -66.6827
  80, 40.8002, -66.7168
  81, 40.7048, -66.6838
  82, 40.6867, -66.6919
  83, 40.6685, -66.7077
  84, 40.6409, -66.7366
  85, 40.6095, -66.7667
  86, 40.5961, -66.7829
  87, 40.5897, -66.7970
  88, 40.5552, -66.8352
  89, 40.5142, -66.8545
  90, 40.5008, -66.8664
  91, 40.4944, -66.8806
  92, 40.4872, -66.9111
  93, 40.4809, -66.9517
  94, 40.4697, -66.9886
  95, 40.4626, -67.0395
  96, 40.4608, -67.0507
  97, 40.4536, -67.0994
  98, 40.4448, -67.1280
  99, 40.4189, -67.1595
 100, 40.4036, -67.1798
 101, 40.3972, -67.1963
 102, 40.3867, -67.2320
 103, 40.3791, -67.2578
 104, 40.3660, -67.3019
 105, 40.3581, -67.3413
 106, 40.3341, -67.3945
 107, 40.3305, -67.4060
 108, 40.3288, -67.4117
 109, 40.3236, -67.4196
 110, 40.2980, -67.4798
 111, 40.2881, -67.5077
 112, 40.2843, -67.5544
 113, 40.2826, -67.5721
 114, 40.2788, -67.6208
 115, 40.2678, -67.6651
 116, 40.2601, -67.6919
 117, 40.2507, -67.7274
 118, 40.2579, -67.7659
 119, 40.2647, -67.8041
 120, 40.2739, -67.8517
 121, 40.2572, -67.8810
 122, 40.2284, -67.9273
 123, 40.2210, -67.9407
 124, 40.2200, -67.9493
 125, 40.2202, -67.9593
 126, 40.2271, -68.0664
 127, 40.2271, -68.0680
 128, 40.2264, -68.0701
 129, 40.1977, -68.1366
 130, 40.1898, -68.1713
 131, 40.1856, -68.2221
 132, 40.1857, -68.2341
 133, 40.1803, -68.2842
 134, 40.1625, -68.3140
 135, 40.1331, -68.3275
 136, 40.1078, -68.3444
 137, 40.0924, -68.3700
 138, 40.0910, -68.4209
 139, 40.0940, -68.4391
 140, 40.0919, -68.4860
 141, 40.0666, -68.5123
 142, 40.0379, -68.5294
 143, 40.0211, -68.5571
 144, 40.0156, -68.5757
 145, 40.0131, -68.6051
 146, 40.0130, -68.6606
 147, 40.0099, -68.6899
 148, 40.0051, -68.7281
 149, 40.0048, -68.7638
 150, 39.9982, -68.8020
 151, 39.9849, -68.8489
 152, 39.9823, -68.8643
 153, 39.9719, -68.9090
 154, 39.9819, -68.9602
 155, 39.9832, -68.9797
 156, 39.9996, -69.0347
 157, 39.9728, -69.0622
 158, 39.9428, -69.0867
 159, 39.9233, -69.1006
 160, 39.9160, -69.1220
 161, 39.9108, -69.1593
 162, 39.9069, -69.1910
 163, 39.9007, -69.2327
 164, 39.8903, -69.2810
 165, 39.8885, -69.2949
 166, 39.8799, -69.3417
 167, 39.8767, -69.3758
 168, 39.8750, -69.4228
 169, 39.8723, -69.4550
 170, 39.8750, -69.4892
 171, 39.8638, -69.5486
 172, 39.8672, -69.5693
 173, 39.8593, -69.5807
 174, 39.8478, -69.6031
 175, 39.8324, -69.6545
 176, 39.8292, -69.6722
 177, 39.8317, -69.6928
 178, 39.8478, -69.7770
 179, 39.8513, -69.7917
 180, 39.8518, -69.7961
 181, 39.8511, -69.7999
 182, 39.8478, -69.8091
 183, 39.8290, -69.8812
 184, 39.8261, -69.9032
 185, 39.8265, -69.9294
 186, 39.8295, -69.9981
 187, 39.8299, -70.0205
 188, 39.8332, -70.0395
 189, 39.8478, -70.0832
 190, 39.8641, -70.1286
 191, 39.8692, -70.1502
 192, 39.8762, -70.1874
 193, 39.8835, -70.2277
 194, 39.8926, -70.2745
 195, 39.8794, -70.3085
 196, 39.8478, -70.3414
 197, 39.8354, -70.3554
 198, 39.8307, -70.3689
 199, 39.8310, -70.3895
 200, 39.8318, -70.4657
 201, 39.8321, -70.4854
 202, 39.8325, -70.5043
 203, 39.8277, -70.5753
 204, 39.8280, -70.6000
 205, 39.8289, -70.6234
 206, 39.8311, -70.6966
 207, 39.8318, -70.7173
 208, 39.8233, -70.7443
 209, 39.8113, -70.7816
 210, 39.7989, -70.8218
 211, 39.8096, -70.8722
 212, 39.8215, -70.9031
 213, 39.8314, -70.9292
 214, 39.8384, -70.9517
 215, 39.8378, -70.9637
 216, 39.8341, -71.0494
 217, 39.8333, -71.0659
 218, 39.8322, -71.0846
 219, 39.8290, -71.1575
 220, 39.8277, -71.1800
 221, 39.7995, -71.2270
 222, 39.7990, -71.2294
 223, 39.7823, -71.2799
 224, 39.7805, -71.3131
 225, 39.7528, -71.3388
 226, 39.7354, -71.3581
 227, 39.7296, -71.3773
 228, 39.7300, -71.4053
 229, 39.7377, -71.4776
 230, 39.7380, -71.4963
 231, 39.7208, -71.5293
 232, 39.7125, -71.5540
 233, 39.6651, -71.5864
 234, 39.6624, -71.5910
 235, 39.6579, -71.5965
 236, 39.6348, -71.6635
 237, 39.6150, -71.6847
 238, 39.6110, -71.7404
 239, 39.6110, -71.7419
 240, 39.6068, -71.7976
 241, 39.5848, -71.8166
 242, 39.5629, -71.8229
 243, 39.5302, -71.8465
 244, 39.5108, -71.8796
 245, 39.4997, -71.9145
 246, 39.4680, -71.9691
 247, 39.4623, -71.9715
 248, 39.4478, -71.9733
 249, 39.4559, -71.9908
 250, 39.4348, -72.0440
 251, 39.4394, -72.0861
 252, 39.4160, -72.1304
 253, 39.3730, -72.1523
 254, 39.3454, -72.1351
 255, 39.3013, -72.1249
 256, 39.2781, -72.1014
