% Point Number, Decimal Latitude, Decimal Longitude
   1, 79.0353, -42.9199
   2, 72.0189, -43.6820
   3, 65.8917, -45.2584
   4, 63.0000, -44.4089
   5, 63.0000, -52.0812
   6, 63.0021, -52.3334
   7, 63.2521, -52.5623
   8, 63.4187, -52.7978
   9, 63.5854, -53.0029
  10, 63.7747, -53.2479
  11, 63.9002, -53.5812
  12, 64.0214, -53.8312
  13, 64.0521, -54.2479
  14, 64.1138, -54.5812
  15, 64.2472, -54.9146
  16, 64.3478, -55.1646
  17, 64.4597, -55.4979
  18, 64.5021, -55.8156
  19, 64.2521, -55.7995
  20, 63.9652, -55.7479
  21, 63.8104, -55.9979
  22, 63.8354, -56.3979
  23, 63.9105, -56.7479
  24, 63.9624, -57.0812
  25, 63.9996, -57.4979
  26, 64.0191, -57.8312
  27, 64.0777, -58.2479
  28, 63.8875, -58.4979
  29, 63.5854, -58.5874
  30, 63.2521, -58.6705
  31, 62.9413, -58.8312
  32, 62.7521, -59.0312
  33, 62.8354, -59.1408
  34, 63.1437, -59.2479
  35, 63.3193, -59.4979
  36, 63.3354, -59.7479
  37, 63.2062, -60.0812
  38, 62.9242, -60.2479
  39, 62.7267, -60.4146
  40, 62.4187, -60.5649
  41, 62.0021, -60.5276
  42, 61.6687, -60.4943
  43, 61.4016, -60.5812
  44, 61.1687, -60.7697
  45, 60.9187, -60.9583
  46, 60.6687, -61.1182
  47, 60.4187, -61.1191
  48, 60.1687, -60.9743
  49, 59.9973, -60.7479
  50, 60.4551, -64.5679
  51, 60.4575, -64.5725
  52, 60.4578, -64.5797
  53, 60.4567, -64.5832
  54, 60.4546, -64.5895
  55, 60.4573, -64.5891
  56, 60.6828, -64.6621
  57, 61.3235, -64.8789
  58, 61.4034, -64.8721
  59, 61.5060, -64.9163
  60, 61.5813, -65.1753
  61, 61.6559, -65.4417
  62, 61.7545, -65.6744
  63, 61.8331, -65.8597
  64, 61.8831, -65.9777
  65, 61.9211, -66.0342
  66, 61.9413, -66.0998
  67, 62.1896, -66.6603
  68, 62.4917, -67.5480
  69, 62.8246, -68.5714
  70, 63.7693, -70.1804
  71, 64.7445, -70.9261
  72, 66.6375, -70.4098
  73, 67.7848, -70.3525
  74, 69.1042, -72.0160
  75, 70.1941, -74.7122
  76, 70.7678, -76.6626
  77, 71.5000, -89.0000
  78, 76.7825, -89.0000
  79, 76.9351, -88.5401
  80, 76.9323, -88.2193
  81, 76.8864, -86.8879
  82, 76.9102, -85.3888
  83, 77.0054, -83.9849
  84, 77.1005, -83.1283
  85, 77.4337, -82.6286
  86, 78.0285, -81.9624
  87, 78.1475, -81.1296
  88, 78.3616, -79.4877
  89, 78.4092, -78.3694
  90, 78.1400, -77.4276
  91, 78.0643, -76.9027
  92, 78.0697, -76.5456
  93, 78.0676, -75.6384
  94, 78.0601, -72.5950
  95, 78.0788, -72.5166
  96, 78.1605, -71.7373
  97, 78.2335, -70.7876
  98, 78.4169, -67.2975
  99, 78.7024, -56.4947
 100, 79.0353, -42.9199
