% Point Number, Decimal Latitude, Decimal Longitude
 212, 58.5372, -8.7479
 213, 58.5199, -8.8313
 214, 58.5021, -8.9123
 215, 58.5013, -8.9146
 216, 58.4741, -8.9979
 217, 58.4383, -9.0813
 218, 58.4187, -9.1447
 219, 58.4092, -9.1646
 220, 58.3662, -9.2479
 221, 58.3354, -9.3161
 222, 58.3259, -9.3313
 223, 58.2633, -9.4146
 224, 58.2521, -9.4282
 225, 58.1762, -9.4979
 226, 58.1687, -9.5035
 227, 58.0854, -9.5553
 228, 58.0345, -9.5813
 229, 58.0021, -9.5930
 230, 57.9187, -9.6080
 231, 57.8354, -9.6110
 232, 57.7521, -9.5987
 233, 57.6687, -9.5917
 234, 57.6312, -9.5813
 235, 57.5854, -9.5629
 236, 57.5021, -9.5261
 237, 57.4187, -9.5002
 238, 57.4150, -9.4979
 239, 57.3354, -9.4481
 240, 57.2801, -9.4146
 241, 57.2521, -9.3952
 242, 57.1687, -9.3361
 243, 57.1617, -9.3313
 244, 57.0854, -9.2756
 245, 57.0604, -9.2479
 246, 57.0021, -9.1904
 247, 56.9686, -9.1646
 248, 56.9187, -9.1207
 249, 56.8369, -9.0813
 250, 56.8354, -9.0804
 251, 56.7521, -9.0470
 252, 56.6687, -9.0278
 253, 56.6134, -9.0813
 254, 56.5854, -9.1101
 255, 56.5021, -9.1164
 256, 56.4187, -9.1173
 257, 56.3354, -9.1494
 258, 56.3157, -9.1646
 259, 56.2521, -9.2065
 260, 56.1687, -9.2228
 261, 56.0854, -9.2263
 262, 56.0355, -9.2479
 263, 56.0021, -9.2650
 264, 55.9187, -9.2946
 265, 55.8492, -9.3313
 266, 55.8354, -9.3417
 267, 55.7521, -9.3866
 268, 55.6687, -9.4115
 269, 55.6651, -9.4146
 270, 55.6130, -9.4979
 271, 55.5854, -9.5265
 272, 55.5384, -9.5813
 273, 55.5021, -9.6164
 274, 55.4656, -9.6646
 275, 55.4657, -9.7479
 276, 55.4487, -9.8313
