% Point Number, Decimal Latitude, Decimal Longitude
   1, 57.0140, 33.6136
   2, 52.2495, 29.0600
   3, 50.0992, 17.9711
   4, 50.1350,  9.2906
   5, 52.6572, 10.2186
   6, 53.7993, 10.3542
   7, 54.3228,  9.4262
   8, 54.9415,  9.1169
   9, 55.4412,  9.0455
  10, 55.6797,  9.3294
  11, 55.6027,  9.5811
  12, 55.5356,  9.7086
  13, 55.5372,  9.7084
  14, 55.5221,  9.7402
  15, 55.3917, 10.0105
  16, 55.3105, 10.3123
  17, 55.3423, 10.5612
  18, 55.3758, 10.6741
  19, 55.3896, 10.7612
  20, 55.3906, 11.2160
  21, 55.4017, 11.2606
  22, 55.4670, 11.8902
  23, 55.6312, 12.2055
  24, 55.8786, 12.3411
  25, 56.0095, 12.4922
  26, 56.0448, 12.6133
  27, 56.0545, 12.6860
  28, 56.0849, 12.7390
  29, 56.3581, 13.7362
  30, 59.1659, 13.9027
  31, 61.3788, 12.7606
  32, 63.2531, 15.1293
  33, 65.6921, 17.6872
  34, 67.1094, 20.4672
  35, 67.4704, 21.1755
  36, 67.9342, 26.2351
  37, 65.5309, 30.1984
  38, 61.3146, 33.1498
  39, 57.0140, 33.6136
